id,commit,days
2151,true,163
2152,false,0
2153,false,0
2154,false,0
2155,true,6
2156,false,0
2158,true,4
2159,false,205
2160,false,0
2161,true,3
2162,false,0
2163,false,0
2164,false,1
2165,true,1
2166,false,93
2167,false,0
2168,false,0
2169,false,1
2170,false,3
2171,false,1
2172,false,26
2173,false,92
2174,false,0
2175,false,91
2176,false,39
2177,false,0
2178,false,1
2179,false,0
2180,false,0
2181,false,0
2182,true,10
2183,false,0
2184,false,0
2185,false,3
2186,true,1
2187,false,0
2188,false,0
2189,false,33
2190,false,0
2191,false,1
2192,true,129
2193,false,129
2194,false,31
2195,false,0
2196,false,0
2197,false,1
2198,false,128
2199,false,4
2200,false,0
2201,true,0
2202,false,0
2203,false,0
2204,false,2
2205,false,0
2206,false,0
2207,false,0
2209,false,0
2210,true,110
2212,true,0
2213,false,189
2214,false,0
